benchmark,benchmark_version,cpu_clock_freq,cpu_cores,cpu_litho,cpu_make,cpu_score,cpu_sku,cpu_socket,cpu_test,cpu_tdp,date,gpu,gpu_avg_clock_freq,gpu_avg_memclock_freq,gpu_avg_temp,gpu_clock_freq,gpu_count,gpu_driver_status,gpu_driver_version,gpu_memclock_freq,gpu_score,gpu_vendor,gpu_vram,pr_gt,os,ram,ram_clock_freq,score,storage,user
Port Royal,1.2,4904,8,14,Intel,,Core i7-9700K Processor,FCLGA1151,,95,September 30 2020,NVIDIA GeForce RTX 3080,2005,1325,67,2085,1,Approved ,27.21.14.5655,1325,12359,NVidia Corporation,10240,57.22,64-bit Windows 10 (10.0.19041),32768,3698,12359,500 GB Samsung SSD 860 EVO 500GB,machocamacho1234
Port Royal,1.2,5203,8,14,Intel,,Core i9-9900K Processor,FCLGA1151,,95,September 30 2020,NVIDIA GeForce RTX 3080,2024,1325,56,2070,1,Approved ,27.21.14.5655,1325,12359,EVGA Corporation,10240,57.22,64-bit Windows 10 (10.0.19041),32768,3598,12359,512 GB NVMe Samsung SSD 960 SCSI Disk Device,Luckbad
Port Royal,1.2,5308,10,14,Intel,,Core i9-10900K Processor,FCLGA1200,,125,September 24 2020,NVIDIA GeForce RTX 3080,2000,1312,44,2115,1,Approved ,27.21.14.5638,1312,12358,"Asustek Computer, Inc.",10240,57.22,64-bit Windows 10 (10.0.19041),16384,4402,12358,"1,024 GB ADATA SX8200PNP",raufzero
Port Royal,1.2,4904,8,14,Intel,,Core i7-9700K Processor,FCLGA1151,,95,September 30 2020,NVIDIA GeForce RTX 3080,1990,1319,67,2100,1,Approved ,27.21.14.5655,1319,12358,NVidia Corporation,10240,57.21,64-bit Windows 10 (10.0.19041),32768,3700,12358,500 GB Samsung SSD 860 EVO 500GB,machocamacho1234
Port Royal,1.2,5308,10,14,Intel,,Core i9-10900K Processor,FCLGA1200,,125,September 24 2020,NVIDIA GeForce RTX 3080,1999,1312,44,2070,1,Approved ,27.21.14.5638,1312,12353,"Asustek Computer, Inc.",10240,57.19,64-bit Windows 10 (10.0.19041),16384,4402,12353,"1,024 GB ADATA SX8200PNP",raufzero
Port Royal,1.2,5308,10,14,Intel,,Core i9-10900K Processor,FCLGA1200,,125,September 24 2020,NVIDIA GeForce RTX 3080,2000,1312,44,2100,1,Approved ,27.21.14.5638,1312,12353,"Asustek Computer, Inc.",10240,57.19,64-bit Windows 10 (10.0.19041),16384,4402,12353,"1,024 GB ADATA SX8200PNP",raufzero
Port Royal,1.2,5134,6,14,Intel,,Core i7-8700K Processor,LGA-1151,,95,September 29 2020,NVIDIA GeForce RTX 3080,2009,1329,53,2070,1,Approved ,27.21.14.5655,1329,12349,"Giga-Byte Technology Co., Ltd.",10240,57.17,64-bit Windows 10 (10.0.18363),32768,3218,12349,500 GB Samsung SSD 960 EVO 500GB,GunnarTheFox
Port Royal,1.2,5103,6,14,Intel,,Core i7-8700K Processor,LGA-1151,,95,September 30 2020,NVIDIA GeForce RTX 3080,2045,1282,53,2100,1,Approved ,27.21.14.5655,1282,12349,NVidia Corporation,10240,57.17,64-bit Windows 10 (10.0.19041),16384,2998,12349,500 GB Samsung SSD 850 EVO 500GB,Moorbs
Port Royal,1.2,5308,10,14,Intel,,Core i9-10900K Processor,FCLGA1200,,125,September 24 2020,NVIDIA GeForce RTX 3080,1994,1312,44,2115,1,Approved ,27.21.14.5638,1313,12347,"Asustek Computer, Inc.",10240,57.16,64-bit Windows 10 (10.0.19041),16384,4404,12347,"1,024 GB ADATA SX8200PNP",raufzero
Port Royal,1.2,5308,10,14,Intel,,Core i9-10900K Processor,FCLGA1200,,125,September 24 2020,NVIDIA GeForce RTX 3080,1999,1311,44,2055,1,Approved ,27.21.14.5638,1311,12347,"Asustek Computer, Inc.",10240,57.16,64-bit Windows 10 (10.0.19041),16384,4404,12347,"1,024 GB ADATA SX8200PNP",raufzero
